610834	16	755	47
612240	16	710	44
612656	16	1240	77
621323	16	730	45
624061	16	1070	66
624838	16	1360	85
74366	16	1200	75
77328	16	280	17
82705	16	800	50
85484	16	530	33
88181	16	1350	84
129959	15	1296	86
162521	15	1160	77
186196	15	1270	84
206573	15	1060	70
22528	15	740	49
265109	15	240	16
314305	15	1270	84
342613	15	1180	78
348083	15	1040	69
376426	15	941	62
377818	15	1060	70
405927	15	1170	78
449714	15	720	48
450765	15	860	57
465388	15	460	30
483406	15	1300	86
513088	15	900	60
514712	15	1220	81
534366	15	470	31
542705	15	1190	79
547523	15	180	12
560720	15	1330	88
588105	15	1270	84
589657	15	890	59
590042	15	300	20
593641	15	809	53
598917	15	1160	77
610017	15	1180	78
617019	15	90	6
12866	14	1240	88
134419	14	830	59
166251	14	586	41
21214	14	680	48
222961	14	1080	77
240200	14	820	58
261859	14	490	35
308416	14	1160	82
362710	14	810	57
391164	14	927	66
422381	14	710	50
447516	14	1090	77
46507	14	1160	82
490208	14	1200	85
506766	14	860	61
509651	14	720	51
520077	14	1210	86
534391	14	1070	76
544391	14	1220	87
546490	14	600	42
548679	14	1100	78
561250	14	150	10
585679	14	1300	92
590294	14	1165	83
602747	14	1146	81
610851	14	430	30
618144	14	990	70
247358	13	755	58
291874	13	1030	79
311345	13	1000	76
339638	13	1065	81
429806	13	830	63
438123	13	495	38
479316	13	830	63
487609	13	739	56
549201	13	565	43
549992	13	920	70
599445	13	830	63
604450	13	1140	87
72458	13	840	64
353195	12	1010	84
35615	12	680	56
36861	12	1000	83
503277	12	350	29
537049	12	700	58
558105	12	930	77
596284	12	1050	87
305520	11	595	54
34479	11	775	70
353815	11	900	81
527934	11	620	56
544033	11	930	84
614549	11	900	81
157169	10	800	80
610518	10	415	41
622391	9	780	86
481937	8	620	77
305350	7	660	94
64200	7	530	75
564822	4	180	45
