147073	463820	32237937	69
189820	323442	27580466	85
257158	313159	17549550	56
436056	305106	22992135	75
175835	304302	23331340	76
123601	299693	21294520	71
270248	296911	22428331	75
531386	290555	22348538	76
88858	267837	21226376	79
131263	264932	19937303	75
459622	257013	19800487	77
194044	250075	21474318	85
56437	248917	22402394	89
600770	248583	18637372	74
213829	244997	18853066	76
182140	240527	19419605	80
234288	236668	16468979	69
192496	232047	17514902	75
123025	231172	16938216	73
85012	231152	10769918	46
247563	226850	15561379	68
275261	223339	16751904	75
146781	221547	16839483	76
207030	221133	18436140	83
349451	219840	14852793	67
349388	216306	9252145	42
180037	216071	16303632	75
370371	212675	14228682	66
523223	211114	9235710	43
382315	207741	14284688	68
378073	205716	14062855	68
17863	203943	16315273	79
393059	203795	15663054	76
111280	202998	15565114	76
267846	202679	14406078	71
440749	198508	14912690	75
532569	194409	12615004	64
144592	187521	14826047	79
179785	186476	14021367	75
210226	186359	13834059	74
267723	185554	12373511	66
513664	179662	7446545	41
216505	176466	5934210	33
283332	175109	14024428	80
22757	172563	15530614	89
538823	170138	10968318	64
219179	166620	12097726	72
36870	164177	13134160	80
324045	163703	13422622	81
173301	163470	11549166	70
227064	155159	11004187	70
196852	154492	13537489	87
569179	154136	10043839	65
235966	150983	9916817	65
492607	150938	10659954	70
392726	150307	13183844	87
484497	147862	8452570	57
457583	147066	9649404	65
574204	145558	9465651	65
405897	144826	10293295	71
375693	144441	9855604	68
212016	143728	9772862	67
183450	143305	11815007	82
40476	142804	12852296	89
224051	142122	10054021	70
489154	141448	8087604	57
423102	141368	10296356	72
34525	137624	12386104	89
371598	137491	9847897	71
119236	136982	9174094	66
540934	136795	9700222	70
569455	136728	9168558	67
497792	136540	9646743	70
25311	136432	12278823	89
596241	136119	8430989	61
528166	135990	7215678	53
423861	135675	9192884	67
608376	133620	9192909	68
461814	132166	9345616	70
607946	131962	9111244	69
493655	131680	9403478	71
210839	130209	8379287	64
467178	129439	10258091	79
283541	128813	8777464	68
344617	128803	8488269	65
126944	127959	8354137	65
428598	124228	9060611	72
528144	123124	8434470	68
592747	121839	8027309	65
166998	121320	8419110	69
248550	120690	9570377	79
292946	119900	7935276	66
390355	119869	8814797	73
397543	118439	8061455	68
617646	117774	7263925	61
211566	116955	965498	8
257310	116931	9342146	79
478832	116392	6985590	60
489371	116314	10466204	89
129462	116278	10339006	88
